Camera Name,Count (Professional Cameras),Count (Non-professional Cameras),Tag Name,Count (Professional Tags),Count (Non-professional Tags)
OLYMPUS IMAGING CORP. SP-620UZ,1,1,,0,0
"OLYMPUS IMAGING CORP. X600,D630,FE5500",1,4,,0,0
LTD. PENTAX K-1 Mark II,3,3,,0,0
Canon PowerShot G2,7,8,,0,0
FUJIFILM FinePix Z1,3,3,,0,0
"CASIO COMPUTER CO.,LTD. EX-Z1000   ",1,0,,0,0
EASTMAN KODAK COMPANY KODAK Z1285 ZOOM DIGITAL CAMERA,4,1,,0,0
FUJIFILM FinePix S3100,2,0,,0,0
EASTMAN KODAK COMPANY KODAK EASYSHARE C143 Digital Camera,3,2,,0,0
SAMSUNG SAMSUNG-SGH-I747,2,4,,0,0
NIKON COOLPIX P7700,4,7,,0,0
Canon EOS M3,7,8,,0,0
LEICA C (Typ 112),2,1,,0,0
Canon PowerShot SX120 IS,9,19,,0,0
samsung SM-G991B,1,1,,0,0
SAMSUNG SM-C115,1,2,,0,0
Canon PowerShot SX410 IS,2,5,,0,0
samsung SM-N910F,1,5,,0,0
Panasonic DC-G9,4,12,,0,0
PENTAX PENTAX K-500,2,2,,0,0
Ltd. DiMAGE 7i,2,1,,0,0
Panasonic DMC-TS6,1,0,,0,0
SONY SLT-A37,9,7,,0,0
"OLYMPUS IMAGING CORP. uD800,S800",1,4,,0,0
NIKON COOLPIX P6000,2,3,,0,0
NIKON CORPORATION D3X,4,10,,0,0
Canon EOS 4000D,2,4,,0,0
samsung SM-A520F,3,5,,0,0
Google Pixel 3,3,1,,0,0
NIKON COOLPIX S6000,2,2,,0,0
samsung SM-G950U,2,3,,0,0
Panasonic DMC-FZ48,2,5,,0,0
EASTMAN KODAK COMPANY KODAK EASYSHARE Z915 DIGITAL CAMERA,2,5,,0,0
LTD.   PENTAX K-3 II      ,2,0,,0,0
Apple iPhone 14 Pro Max,1,1,,0,0
SIGMA SIGMA SD14,3,1,,0,0
NIKON S1,2,5,,0,0
SONY DSC-HX1,8,16,,0,0
FUJIFILM X10,10,19,,0,0
Canon CanoScan 8800F,4,5,,0,0
Canon PowerShot G3,5,10,,0,0
Canon DIGITAL IXUS 65,3,6,,0,0
Panasonic DMC-FZ330,6,0,,0,0
Canon EOS 800D,1,9,,0,0
Leica Camera AG M8 Digital Camera,5,8,,0,0
samsung SM-G928F,1,0,,0,0
EASTMAN KODAK COMPANY KODAK DX7630 ZOOM DIGITAL CAMERA,3,5,,0,0
samsung GT-I9515,1,0,,0,0
SONY  DSLR-A200,3,10,,0,0
SONY DSC-P52,1,9,,0,0
SONY DSC-T70,4,2,,0,0
Apple iPhone 4,40,79,,0,0
Canon PowerShot A510,5,14,,0,0
SONY DSC-HX300,8,16,,0,0
PENTAX Corporation PENTAX Optio A40,1,0,,0,0
Plustek OpticFilm 8100,3,2,,0,0
Panasonic DMC-FZ100,5,9,,0,0
SONY DSC-HX90V,3,5,,0,0
SONY DSC-T9,2,5,,0,0
NIKON COOLPIX L830,3,6,,0,0
NIKON COOLPIX P500,5,13,,0,0
Canon PowerShot A720 IS,13,21,,0,0
LGE Nexus 5,4,12,,0,0
Motorola MotoE2,1,0,,0,0
NIKON COOLPIX A900,3,4,,0,0
Panasonic DMC-TZ25,6,5,,0,0
Canon PowerShot G1 X Mark III,3,2,,0,0
Posh E550,1,0,,0,0
Panasonic DMC-TZ65,1,1,,0,0
Panasonic DMC-FT5,2,0,,0,0
FUJIFILM FinePix F10,4,10,,0,0
OLYMPUS IMAGING CORP.   E-500           ,9,4,,0,0
RICOH Caplio R7,3,0,,0,0
Sony D5803,1,4,,0,0
Apple iPhone 11,5,10,,0,0
OLYMPUS CORPORATION C740UZ,4,3,,0,0
"CASIO COMPUTER CO.,LTD. EX-Z70",2,3,,0,0
SONY SLT-A58,15,40,,0,0
samsung SAMSUNG-SM-G900A,1,1,,0,0
SONY NEX-C3,4,5,,0,0
SONY DSLR-A450,2,4,,0,0
NIKON CORPORATION Z 7,7,9,,0,0
Canon EOS 200D,5,5,,0,0
LTD. SLP800,1,2,,0,0
PENTAX PENTAX K-x,18,22,,0,0
PENTAX              PENTAX K-x         ,4,2,,0,0
SONY DSC-H200,1,0,,0,0
Panasonic DMC-FT3,1,0,,0,0
Apple iPad 2,3,1,,0,0
FUJIFILM FinePix S7000 ,1,4,,0,0
DJI FC3582,1,1,,0,0
NIKON E5000,2,5,,0,0
SONY ILCE-5100,12,7,,0,0
NIKON CORPORATION 1 S1,1,0,,0,0
Canon PowerShot SD870 IS,6,7,,0,0
Panasonic DMC-G10,1,3,,0,0
Canon MP620 series,1,0,,0,0
NIKON COOLPIX S4,4,5,,0,0
Canon PowerShot SX130 IS,8,16,,0,0
NIKON CORPORATION Z 6_2,4,5,,0,0
samsung SM-N910H,1,0,,0,0
Canon PowerShot SX170 IS,5,3,,0,0
SONY ILCA-77M2,11,36,,0,0
SONY ILCE-9,4,6,,0,0
FUJIFILM FinePix S2500HD,3,2,,0,0
Panasonic DMC-G7,3,12,,0,0
NIKON CORPORATION Z 5,2,2,,0,0
Canon PowerShot SD900,2,5,,0,0
Canon PowerShot SX230 HS,9,10,,0,0
PENTAX PENTAX K-01,3,6,,0,0
EPSON Perfection V800/V850,2,1,,0,0
PENTAX PENTAX K-5 II,8,11,,0,0
"OLYMPUS OPTICAL CO.,LTD C740UZ",6,3,,0,0
Canon PowerShot A2200,6,0,,0,0
OLYMPUS IMAGING CORP. SZ-31MR,1,2,,0,0
SAMSUNG SAMSUNG ST60 / VLUU ST60 / SAMSUNG TL105 / SAMSUNG ST61,1,0,,0,0
SONY DSC-H20,4,6,,0,0
FUJIFILM FinePix HS50EXR,7,8,,0,0
samsung SM-J500H,2,1,,0,0
SAMSUNG SAMSUNG WB1100F/WB1101F/WB1102F,2,0,,0,0
LTD. GR II,3,6,,0,0
samsung SM-A510F,1,2,,0,0
Razer Phone 2,1,0,,0,0
Konica Minolta Camera,3,9,,0,0
Inc. DiMAGE X21,1,0,,0,0
Panasonic DMC-FZ7,10,20,,0,0
Epson    Exp10000XL10000 ,1,0,,0,0
Sinarcam 2 (Stand Alone),1,0,,0,0
Sinar m,1,0,,0,0
OLYMPUS IMAGING CORP.   E-M5            ,2,4,,0,0
FUJIFILM X30,3,4,,0,0
RICOH GR DIGITAL 3,2,5,,0,0
NIKON CORPORATION D100,8,8,,0,0
LTD. SP-3000,19,29,,0,0
LEICA CAMERA AG LEICA SL2,1,0,,0,0
Canon IXUS 145,2,1,,0,0
FUJIFILM FinePix S2000HD S2100HD,3,5,,0,0
samsung SM-G960F,5,4,,0,0
NIKON COOLPIX L25,2,1,,0,0
FUJIFILM FinePix S6500fd,10,11,,0,0
Konica Minolta Photo Imaging,2,0,,0,0
Inc. DiMAGE G600,2,0,,0,0
Canon PowerShot A620,11,14,,0,0
HUAWEI HUAWEI KII-L05,1,0,,0,0
SONY DSC-W30,5,4,,0,0
"OLYMPUS IMAGING CORP. FE310,X840,C530",2,1,,0,0
PENTAX PENTAX Optio E80,2,0,,0,0
SIGMA SIGMA DP2 Merrill,4,8,,0,0
EASTMAN KODAK COMPANY KODAK Z650 ZOOM DIGITAL CAMERA,5,5,,0,0
SONY DSC-W7,6,9,,0,0
Nikon Nikon SUPER COOLSCAN 9000 ED,4,3,,0,0
FUJIFILM FinePix S8600 S8650 S8630,1,1,,0,0
SONY DSC-H10,7,6,,0,0
SONY DSC-HX80,2,5,,0,0
Panasonic DMC-LX15,2,1,,0,0
Panasonic DMC-TZ35,6,7,,0,0
Panasonic DMC-TZ10,8,14,,0,0
SAMSUNG SM-A700F,1,0,,0,0
Canon PowerShot G9 X,2,3,,0,0
FUJIFILM Fujifilm A170 A180,2,1,,0,0
HUAWEI HUAWEI P6-C00,1,0,,0,0
Motorola Moto G (4),2,3,,0,0
"OLYMPUS IMAGING CORP. STYLUS1,1s",2,1,,0,0
SAMSUNG EX1,4,0,,0,0
EASTMAN KODAK COMPANY KODAK DX7590 ZOOM DIGITAL CAMERA,2,3,,0,0
Canon PowerShot G12,18,24,,0,0
Canon PowerShot ELPH 190 IS,3,0,,0,0
Canon PowerShot A2300,2,7,,0,0
PENTAX              PENTAX K-30        ,1,3,,0,0
Google Pixel 2,2,2,,0,0
FUJIFILM FinePix F30,5,7,,0,0
Canon PowerShot G6,8,5,,0,0
Canon PowerShot A610,9,17,,0,0
Canon EOS DIGITAL REBEL,38,51,,0,0
GoPro HERO5 Black,1,2,,0,0
Xiaomi Redmi 5 Plus,1,0,,0,0
Hipstamatic 274,1,0,,0,0
Nikon LS-5000,3,1,,0,0
SEIKO EPSON CORP. PhotoPC 3100Z,1,0,,0,0
OLYMPUS IMAGING CORP. SP350,1,4,,0,0
"OLYMPUS IMAGING CORP.   FE340,X855,C560        ",1,0,,0,0
HTC HTC U Ultra,1,0,,0,0
HTC HTC One,4,1,,0,0
Panasonic DMC-TZ71,2,1,,0,0
HUAWEI HUAWEI GRA-L09,1,1,,0,0
OLYMPUS IMAGING CORP. TG-1,2,0,,0,0
NIKON COOLPIX P330,2,6,,0,0
DJI Test_Pro,1,1,,0,0
HTC EVO,1,1,,0,0
Panasonic DMC-TZ41,2,1,,0,0
SAMSUNG NX300,8,8,,0,0
NIKON COOLPIX L5,1,6,,0,0
Phase One P 65+,1,0,,0,0
Panasonic DMC-GX80,7,7,,0,0
"OLYMPUS IMAGING CORP. FE220,X785",2,2,,0,0
NIKON COOLPIX L4,2,4,,0,0
EASTMAN KODAK COMPANY KODAK EasyShare Z990 Digital Camera,3,4,,0,0
EASTMAN KODAK COMPANY KODAK EasyShare Z981 Digital Camera,3,4,,0,0
Apple iPhone 6s Plus,13,12,,0,0
Apple iPhone 12,1,2,,0,0
samsung SM-N910C,1,2,,0,0
Canon PowerShot SX700 HS,3,12,,0,0
Canon EOS 77D,12,23,,0,0
NIKON COOLPIX P500   ,1,3,,0,0
FUJIFILM X-A1,2,3,,0,0
LEICA D-LUX (Typ 109),3,0,,0,0
OLYMPUS IMAGING CORP. E-500,18,29,,0,0
SAMSUNG GT-I9505,5,5,,0,0
SAMSUNG EX1    ,1,0,,0,0
LG Electronics LG-VS450P,1,0,,0,0
Canon PowerShot Pro1,8,7,,0,0
FUJIFILM FinePix F60fd,1,1,,0,0
Sony D6603,2,1,,0,0
"CASIO COMPUTER CO.,LTD QV-R51",1,1,,0,0
OLYMPUS IMAGING CORP.   SP570UZ                ,1,1,,0,0
samsung SM-G900F,1,9,,0,0
Canon PowerShot A80,9,13,,0,0
samsung SM-G925F,2,2,,0,0
Apple iPhone 8,14,24,,0,0
"OLYMPUS IMAGING CORP. u1010,S1010",2,2,,0,0
Panasonic DMC-ZS8,4,4,,0,0
Panasonic DMC-TZ31,1,4,,0,0
SONY DSC-W1,4,13,,0,0
Canon MP240 series,1,1,,0,0
PENTAX Corporation PENTAX Optio S5i,3,1,,0,0
OLYMPUS IMAGING CORP. SP560UZ,4,5,,0,0
Panasonic DC-TZ220,1,0,,0,0
NIKON E8800,7,7,,0,0
SONY DSC-S930,4,5,,0,0
NIKON COOLPIX A100,1,2,,0,0
Canon PowerShot A650 IS,5,8,,0,0
NIKON COOLPIX S50,1,1,,0,0
Panasonic DMC-TZ8,8,4,,0,0
NIKON COOLPIX S6500,1,0,,0,0
DJI FC300C,1,0,,0,0
SAMSUNG TECHWIN Pro 815,1,1,,0,0
Canon DIGITAL IXUS 40,3,7,,0,0
OLYMPUS IMAGING CORP. E-3,11,13,,0,0
Motorola Moto G Play,1,1,,0,0
FUJIFILM X-T4,3,4,,0,0
SONY DSC-W380,2,1,,0,0
Canon PowerShot A430,2,5,,0,0
EPSON WF-7520,1,0,,0,0
PENTAX PENTAX Optio W60,1,0,,0,0
EASTMAN KODAK COMPANY KODAK Z612 ZOOM DIGITAL CAMERA,2,3,,0,0
LG Electronics VS980 4G,2,0,,0,0
EASTMAN KODAK COMPANY KODAK EASYSHARE M575 Digital Camera,1,0,,0,0
HUAWEI WAS-LX1A,1,1,,0,0
OLYMPUS IMAGING CORP. E-620,8,14,,0,0
Google Pixel XL,1,1,,0,0
SONY  DSLR-A700,3,7,,0,0
KONICA MINOLTA MAXXUM 7D,5,1,,0,0
EASTMAN KODAK COMPANY KODAK EASYSHARE V803 ZOOM DIGITAL CAMERA,2,2,,0,0
Panasonic DMC-FZ8,9,16,,0,0
FUJIFILM FinePix S1500     ,1,2,,0,0
LTD.   PENTAX K-3         ,2,3,,0,0
RICOH GR DIGITAL 4,3,4,,0,0
LG Electronics LG-D620,1,0,,0,0
Panasonic DMC-LS70,2,0,,0,0
Canon PowerShot SX200 IS,8,11,,0,0
SAMSUNG SM-J100H,1,1,,0,0
Hipstamatic Oggl,1,1,,0,0
SONY DSC-W270,3,1,,0,0
SONY DSC-W320,5,6,,0,0
SAMSUNG SM-J100Y,1,0,,0,0
Canon EOS-1D Mark III,11,20,,0,0
JellyBus iPad Air 2,1,0,,0,0
Panasonic DC-TZ93,1,1,,0,0
OLYMPUS IMAGING CORP. E-PL1,10,22,,0,0
Canon PowerShot S70,3,4,,0,0
EASTMAN KODAK COMPANY KODAK CX6445 ZOOM DIGITAL CAMERA,1,0,,0,0
NIKON E4100,3,3,,0,0
FUJIFILM X100V,1,2,,0,0
FUJIFILM FinePix Z20fd,1,3,,0,0
SONY            DSLR-A100,4,11,,0,0
SONY CYBERSHOT,28,55,,0,0
HP Scanjet e709n,1,0,,0,0
FUJIFILM FinePix S5600,6,11,,0,0
Canon PowerShot A700,6,6,,0,0
SONY DSLR-A350,18,21,,0,0
Phase One P45+,1,2,,0,0
Plustek OpticFilm 8200i,3,2,,0,0
Canon IXUS 160,1,0,,0,0
OLYMPUS IMAGING CORP.   u5000                  ,1,0,,0,0
"OLYMPUS IMAGING CORP. u700,S700",2,4,,0,0
Canon PowerShot S100,10,19,,0,0
Pentax K-x,1,0,,0,0
OLYMPUS IMAGING CORP. E-600,2,1,,0,0
KONICA MINOLTA DiMAGE Z3,3,2,,0,0
SONY DSLR-A900,7,14,,0,0
Canon PowerShot G1 X Mark II,3,6,,0,0
NIKON COOLPIX S8000,3,8,,0,0
Nikon Nikon SUPER COOLSCAN 5000 ED,9,7,,0,0
NORITSU KOKI QSS-30,6,3,,0,0
Canon PowerShot S30,3,4,,0,0
Motorola MotoG3,2,1,,0,0
Panasonic DMC-G85,2,2,,0,0
SONY DSC-RX100M6,2,6,,0,0
KONICA MINOLTA DiMAGE Z6,2,2,,0,0
OLYMPUS IMAGING CORP. E-410,9,16,,0,0
Canon PowerShot A540,10,11,,0,0
Canon PowerShot SD800 IS,4,18,,0,0
Canon PowerShot SD880 IS,4,5,,0,0
Canon PowerShot ELPH 360 HS,2,0,,0,0
EASTMAN KODAK COMPANY KODAK EASYSHARE C613 ZOOM DIGITAL CAMERA,3,5,,0,0
FUJIFILM FinePix J250,1,0,,0,0
FUJIFILM FinePix S9500,10,12,,0,0
"OLYMPUS OPTICAL CO.,LTD E-20,E-20N,E-20P",1,1,,0,0
Panasonic DMC-GH4,4,7,,0,0
FUJIFILM FinePix S200EXR,6,1,,0,0
FUJIFILM FinePix S2980,7,4,,0,0
NIKON CORPORATION Z 50,3,4,,0,0
FUJIFILM FinePix4800 ZOOM,2,0,,0,0
SONY NEX-5,22,16,,0,0
HMD Global Nokia 6,1,0,,0,0
Apple iPhone 11 Pro,6,5,,0,0
Leaf Aptus 65,1,0,,0,0
PENTAX PENTAX K-r,14,9,,0,0
EASTMAN KODAK COMPANY KODAK EASYSHARE M531 Digital Camera,1,0,,0,0
KONICA MINOLTA DYNAX 5D,3,4,,0,0
AgfaPhoto GmbH d-lab.2/3,2,6,,0,0
Canon IXUS 220HS,1,5,,0,0
Apple iPhone 12 Pro,4,4,,0,0
SONY SLT-A35,4,6,,0,0
SAMSUNG EK-GC100,1,3,,0,0
SONY DSC-T5,2,4,,0,0
NIKON CORPORATION 1 J3,1,0,,0,0
Canon PowerShot SX270 HS,1,1,,0,0
LTD. SP500,2,0,,0,0
samsung SM-G920V,4,2,,0,0
FUJIFILM FinePix S4200,3,2,,0,0
Nokia 808 PureView,1,3,,0,0
Polaroid iS2132,1,1,,0,0
SONY ILCE-7SM2,6,3,,0,0
NIKON COOLPIX P7000,4,8,,0,0
Sony Ericsson C903,1,0,,0,0
Sony Ericsson Z610i,1,0,,0,0
OLYMPUS IMAGING CORP. E-PL7,1,7,,0,0
SONY DSC-HX7V,2,3,,0,0
SONY DSC-WX500,1,2,,0,0
FUJIFILM FinePix S5Pro  ,1,0,,0,0
SAMSUNG SAMSUNG-SM-G900A,2,4,,0,0
Sony C6903,2,3,,0,0
GoPro HERO3+ Black Edition,1,1,,0,0
Hipstamatic 367,1,0,,0,0
PENTAX PENTAX 645D,1,2,,0,0
SONY DSC-W310,5,4,,0,0
SONY DSC-RX10,4,2,,0,0
Canon PowerShot ELPH 110 HS,2,6,,0,0
FUJIFILM FinePix Z100fd,1,2,,0,0
SONY DSC-W560,1,0,,0,0
NIKON COOLPIX L840,3,5,,0,0
Konica Corporation Konica Digital Camera KD-500Z,1,0,,0,0
HUAWEI WAS-LX1,2,0,,0,0
Apple iPod touch,5,9,,0,0
Canon PowerShot SD790 IS,1,10,,0,0
SONY DSC-H400,1,3,,0,0
SAMSUNG SM-G900T,1,0,,0,0
Nikon F - 100,1,0,,0,0
EASTMAN KODAK COMPANY KODAK CX7430 ZOOM DIGITAL CAMERA,3,1,,0,0
OLYMPUS IMAGING CORP.   E-M1            ,2,1,,0,0
SAMSUNG GT-I8262,1,0,,0,0
Panasonic DMC-GH2,5,11,,0,0
NIKON COOLPIX L820,7,8,,0,0
PENTAX Corporation  PENTAX K100D Super ,1,1,,0,0
PENTAX Corporation PENTAX Optio A20,1,0,,0,0
OLYMPUS IMAGING CORP. SP590UZ,1,6,,0,0
Apple Unknown,1,0,,0,0
SAMSUNG GT-I8160,1,0,,0,0
Canon IXUS 255 HS,1,0,,0,0
WIKO View XL,1,0,,0,0
Hipstamatic 251,1,0,,0,0
LTD. SLP1000SE,7,2,,0,0
RICOH RICOH R10,1,2,,0,0
OLYMPUS IMAGING CORP. E-PL3,5,7,,0,0
LG Electronics LG-K430T,1,0,,0,0
HUAWEI FRD-L09,2,0,,0,0
Panasonic DMC-FZ45,5,9,,0,0
SAMSUNG NX2000,1,2,,0,0
NIKON COOLPIX L100,5,4,,0,0
SONY HDR-CX240,1,0,,0,0
Canon DIGITAL IXUS 75,2,11,,0,0
NIKON COOLPIX L26,1,0,,0,0
NIKON COOLPIX L22,6,2,,0,0
OLYMPUS CORPORATION     E-M1MarkII      ,1,1,,0,0
OLYMPUS IMAGING CORP. SH-50,1,0,,0,0
Canon PowerShot SD940 IS,1,0,,0,0
Canon PowerShot SD600,9,19,,0,0
NIKON COOLPIX S9200,2,0,,0,0
Canon PowerShot SD700 IS,5,12,,0,0
Apple iPad (5th generation),1,1,,0,0
NIKON E5400,2,6,,0,0
NIKON COOLPIX P610,2,12,,0,0
Canon PowerShot A560,11,8,,0,0
Panasonic DMC-LX2,6,8,,0,0
OLYMPUS IMAGING CORP. E-PM1,4,7,,0,0
Panasonic DMC-FZ40,3,5,,0,0
Hipstamatic 278,2,0,,0,0
PowerShovel Digital Harinezumi 2,1,0,,0,0
Sony Ericsson K800i,3,1,,0,0
NIKON CORPORATION D3500,5,11,,0,0
FUJIFILM FinePix S5000 ,1,1,,0,0
Film Scanner Film Scanner,1,0,,0,0
Nikon Nikon SUPER COOLSCAN 4000 ED,2,2,,0,0
Panasonic DMC-LX10,1,1,,0,0
Epson Perfection3170,1,0,,0,0
"OLYMPUS OPTICAL CO.,LTD C3000Z",6,3,,0,0
FUJIFILM FinePix S2960,1,1,,0,0
KONICA MINOLTA DiMAGE Z20,2,2,,0,0
KONICA MINOLTA DiMAGE G530,1,0,,0,0
PENTAX Corporation PENTAX Optio 33WR,3,0,,0,0
SONY DSC-V3,2,3,,0,0
Sony H3113,1,0,,0,0
Canon DIGITAL IXUS 85 IS,3,3,,0,0
SONY DSC-HX350,1,1,,0,0
FUJIFILM FinePix XP200/XP210,1,1,,0,0
Google Pixel,2,0,,0,0
SONY DSC-W80,10,9,,0,0
LEICA V-LUX (Typ 114),1,4,,0,0
LTD.   RICOH GR III       ,1,0,,0,0
Panasonic DMC-S1,1,0,,0,0
OLYMPUS IMAGING CORP. SP550UZ,4,10,,0,0
FUJIFILM FinePix S3200,3,2,,0,0
FUJIFILM FinePix A600,1,1,,0,0
Canon PowerShot ELPH 115 IS,1,2,,0,0
Canon EOS-1D Mark II,7,8,,0,0
Noritsu Koki QSS,3,7,,0,0
Panasonic DMC-TZ80,1,7,,0,0
samsung SM-J500M,1,1,,0,0
"OLYMPUS IMAGING CORP. FE5030,X965,X960",1,0,,0,0
OLYMPUS IMAGING CORP. SP570UZ,2,7,,0,0
NIKON COOLPIX L2,3,2,,0,0
Canon PowerShot A550,5,9,,0,0
samsung SM-J250G,1,0,,0,0
SAMSUNG NX30,2,5,,0,0
DJI FC300X,2,1,,0,0
LEICA DIGILUX 3,2,1,,0,0
FUJIFILM FinePix HS20EXR,9,15,,0,0
Canon DIGITAL IXUS 70,3,9,,0,0
NIKON CORPORATION 1 J1,6,12,,0,0
Canon EOS Kiss Digital X,6,11,,0,0
FUJIFILM FinePix S1730,2,0,,0,0
OLYMPUS CORPORATION E-1,2,3,,0,0
SONY ILCE-7M4,2,2,,0,0
Panasonic DMC-FZ2500,1,3,,0,0
Samsung Techwin <VLUU L830  / Samsung L830>,1,0,,0,0
SONY DSC-W510,1,0,,0,0
samsung SM-T800,1,0,,0,0
SAMSUNG SM-G800F,1,2,,0,0
SONY ILCE-3500,1,0,,0,0
samsung SM-N910V,1,1,,0,0
Canon PowerShot SD750,7,15,,0,0
Panasonic DMC-G6,4,10,,0,0
LOMO Smena-8M,1,0,,0,0
SIGMA SIGMA DP3 Merrill,3,4,,0,0
SAMSUNG WB690,1,2,,0,0
DJI FC300S,1,1,,0,0
SONY ILCE-5000,6,14,,0,0
Samsung Techwin <Samsung NV3,2,2,,0,0
Samsung VLUU NV3>,2,2,,0,0
Canon PowerShot S110,4,7,,0,0
samsung SM-A310F,2,2,,0,0
SONY DSC-H2,8,11,,0,0
LG Electronics LG-M327,1,0,,0,0
"OLYMPUS CORPORATION X-3,C-60Z",2,6,,0,0
FUJIFILM FinePix S5500  ,2,0,,0,0
LEICA CAMERA AG LEICA TL2,1,0,,0,0
SAMSUNG SGH-T999L,1,0,,0,0
OLYMPUS IMAGING CORP.   E-PL1           ,1,3,,0,0
NIKON COOLPIX P5100,4,4,,0,0
Sony Ericsson ST18i,2,0,,0,0
Apple iPad Air 2,3,3,,0,0
LG Electronics LG-D852,1,0,,0,0
FUJIFILM FinePix A340,1,2,,0,0
FUJIFILM FinePix S5500,2,10,,0,0
OLYMPUS IMAGING CORP. SP800UZ,3,5,,0,0
OLYMPUS IMAGING CORP. E-420,7,16,,0,0
Panasonic DMC-TZ101,1,1,,0,0
Minolta Co. Ltd. Dimage 2300,1,0,,0,0
FUJIFILM FinePix SL1000,3,5,,0,0
Panasonic DMC-FS3,3,6,,0,0
Canon DIGITAL IXUS 500,7,1,,0,0
LG Electronics VS870 4G,1,0,,0,0
Hewlett-Packard HP PhotoSmart C945 (V01.67),1,0,,0,0
Panasonic DMC-LS80,2,5,,0,0
LEICA D-LUX 3,3,4,,0,0
OLYMPUS CORPORATION C765UZ,2,4,,0,0
EASTMAN KODAK COMPANY KODAK Z740 ZOOM DIGITAL CAMERA,10,16,,0,0
SONY DSC-HX10V,2,2,,0,0
Sony E5823,2,1,,0,0
HUAWEI CLT-L29,2,5,,0,0
LEICA CAMERA AG LEICA T (Typ 701),1,2,,0,0
Canon MP495 series,1,0,,0,0
Panasonic DC-S1R,1,2,,0,0
PENTAX Corporation PENTAX Optio WP,1,1,,0,0
SIGMA SIGMA DP1,2,0,,0,0
Canon PowerShot S230,1,3,,0,0
SONY DSLR-A330,6,5,,0,0
FUJIFILM FinePix S4250WM,1,1,,0,0
"CASIO COMPUTER CO.,LTD. EX-S600",3,3,,0,0
SAMSUNG NX10,1,0,,0,0
SONY DSC-P93A,2,3,,0,0
SONY DSC-W35,2,5,,0,0
Hewlett-Packard HP PhotoSmart C945 (V01.52),1,0,,0,0
OLYMPUS IMAGING CORP. SH-2,1,0,,0,0
OLYMPUS CORPORATION E-PL8,1,1,,0,0
samsung SM-F700F,1,0,,0,0
Canon EOS 5DS,3,9,,0,0
samsung SM-N960U,1,0,,0,0
Lenovo Lenovo A7020a48,1,0,,0,0
NIKON CORPORATION D100 ,3,5,,0,0
SAMSUNG SPH-L710,1,1,,0,0
motorola moto g(6),1,0,,0,0
Xiaomi Mi Note 10 Lite,1,0,,0,0
SAMSUNG SGH-T399N,1,0,,0,0
NORITSU KOKI QSS-29_31,2,4,,0,0
Epson PerfectionV700,2,5,,0,0
Leica Camera AG M Monochrom,2,0,,0,0
NIKON CORPORATION D3S,16,24,,0,0
FUJIFILM FinePix S1000fd,4,19,,0,0
SONY DSC-RX10M2,1,2,,0,0
Canon PowerShot ELPH 510 HS,1,1,,0,0
Samsung Techwin <Digimax S500 / Kenox S500 / Digimax Cyber 530>,3,7,,0,0
NIKON COOLPIX B500,1,3,,0,0
Nokia Lumia 1520,1,3,,0,0
PENTAX Corporation PENTAX Optio S4,1,1,,0,0
Canon PowerShot SX520 HS,3,1,,0,0
SONY DSC-W290,6,10,,0,0
Canon PowerShot SX240 HS,3,5,,0,0
FUJIFILM FinePix S4800,3,1,,0,0
SONY DSC-H9,8,15,,0,0
NIKON COOLPIX S550,4,3,,0,0
PENTAX Corporation PENTAX K20D,3,2,,0,0
PENTAX PENTAX Optio M90,1,0,,0,0
NIKON CORPORATION Z 7_2,1,2,,0,0
SONY DSC-W350,5,4,,0,0
Apple + Pro HDR iPhone,1,4,,0,0
SAMSUNG SM-G361F,1,0,,0,0
FUJIFILM FinePix S5600  ,2,2,,0,0
OLYMPUS IMAGING CORP. E-P3,5,7,,0,0
Panasonic DMC-G5,2,13,,0,0
SAMSUNG TECHWIN CO.,7,13,,0,0
LTD. Samsung S85,1,0,,0,0
Xiaomi MiTwo,1,0,,0,0
SAMSUNG GT-I8260,1,1,,0,0
Xiaomi 2014813,1,0,,0,0
HUAWEI BLN-L21,1,0,,0,0
samsung SM-A505FN,1,1,,0,0
Panasonic DMC-GF3,3,9,,0,0
Nokia N8-00,6,8,,0,0
NIKON COOLPIX S570,4,4,,0,0
Panasonic DMC-S3,1,0,,0,0
JP Brothers CandyCamera,1,0,,0,0
Panasonic DMC-LC43,1,0,,0,0
Canon IXUS 125 HS,2,2,,0,0
NIKON COOLPIX S3600,4,3,,0,0
Canon PowerShot G5 X,4,2,,0,0
PENTAX Corporation PENTAX Optio 550,1,2,,0,0
GENERAL IMAGING CO. X400,1,0,,0,0
samsung SM-J730GM,1,1,,0,0
Canon PowerShot SD630,9,9,,0,0
SONY DSC-RX100M7,1,2,,0,0
Panasonic DMC-FX50,1,0,,0,0
KONICA MINOLTA DiMAGE X50,1,2,,0,0
Sony Ericsson E10a,1,0,,0,0
Canon CanoScan LiDE 100,1,3,,0,0
SONY DSC-W150,4,5,,0,0
FUJIFILM FinePix A900,1,0,,0,0
Canon PowerShot ELPH 100 HS,2,3,,0,0
EASTMAN KODAK COMPANY KODAK V610 DUAL LENS DIGITAL CAMERA,2,2,,0,0
Canon EOS Kiss X2,4,9,,0,0
SAMSUNG GT-I9060,1,0,,0,0
FUJIFILM FinePix A345,4,2,,0,0
SONY DSC-HX200V,6,9,,0,0
SAMSUNG ST66 / ST68,1,1,,0,0
SAMSUNG SAMSUNG-SGH-I537,1,0,,0,0
Canon EOS Rebel SL2,1,1,,0,0
