Camera Name,Count (Professional Cameras),Count (Non-professional Cameras),Tag Name,Count (Professional Tags),Count (Non-professional Tags)
KONICA MINOLTA DYNAX 7D,3,6,,0,0
PENTAX PENTAX Q7,1,2,,0,0
SONY  DSLR-A300,5,6,,0,0
LGE Nexus 4,4,2,,0,0
SONY DSC-HX400V,12,10,,0,0
samsung SM-G975F,1,0,,0,0
Canon EOS 650D,41,57,,0,0
NIKON E8700,6,9,,0,0
NIKON COOLPIX S5200,1,1,,0,0
OLYMPUS IMAGING CORP. E-M5MarkII,31,42,,0,0
Apple iPad,3,10,,0,0
samsung SM-G900H,2,1,,0,0
SONY DSC-H90,2,3,,0,0
NIKON COOLPIX P530,5,4,,0,0
NIKON CORPORATION D3000,84,122,,0,0
Canon EOS REBEL T1i,63,108,,0,0
SONY DSC-QX10,1,2,,0,0
SONY DSC-HX50V,3,4,,0,0
Canon EOS REBEL T2i,116,137,,0,0
NIKON CORPORATION D300,145,202,,0,0
Apple iPhone 5,54,84,,0,0
Apple iPhone 3GS,14,18,,0,0
OLYMPUS IMAGING CORP. XZ-1,7,7,,0,0
Canon PowerShot SX260 HS,8,16,,0,0
NIKON COOLPIX B700,3,3,,0,0
LTD. PENTAX K-3,29,32,,0,0
LTD. PENTAX K-3 II,11,8,,0,0
Canon EOS 7D Mark II,128,161,,0,0
Panasonic DMC-TZ3,13,24,,0,0
NORITSU KOKI QSS-32_33,19,35,,0,0
"CASIO COMPUTER CO.,LTD EX-Z750",3,2,,0,0
FUJIFILM FinePix XP90 XP91 XP95,1,1,,0,0
Canon PowerShot SX510 HS,2,10,,0,0
NIKON CORPORATION D3400,23,31,,0,0
Canon PowerShot A520,7,13,,0,0
NIKON CORPORATION 1 J5,3,1,,0,0
Canon EOS 750D,10,38,,0,0
SONY ILCE-7RM4A,1,1,,0,0
SONY ILCE-6300,17,28,,0,0
SONY ILCE-6600,2,1,,0,0
Panasonic DC-FZ82,2,5,,0,0
Apple iPhone 7 Plus,24,32,,0,0
samsung SM-G973F,3,3,,0,0
SONY DSLR-A580,9,9,,0,0
Canon EOS 1300D,15,21,,0,0
Canon EOS-1D X Mark II,11,24,,0,0
SONY ILCE-9M2,2,4,,0,0
Google Pixel 4a (5G),1,1,,0,0
NIKON CORPORATION D70s,36,71,,0,0
SONY ILCE-7RM3,21,37,,0,0
SONY DSC-W690,2,0,,0,0
LG Electronics LG-H815,3,2,,0,0
SONY DSLR-A230,8,10,,0,0
SONY ILCE-6400,5,3,,0,0
Panasonic DMC-LX100,13,16,,0,0
SAMSUNG GT-I9082,1,0,,0,0
SONY ILCA-99M2,6,4,,0,0
FUJIFILM X-T30,3,2,,0,0
Microsoft Lumia 950,1,2,,0,0
Canon EOS M6,2,6,,0,0
FUJIFILM FinePix J30 J32 J38,3,2,,0,0
FUJIFILM X100S,16,41,,0,0
SONY  DSLR-A350,5,2,,0,0
FUJIFILM X-H1,5,8,,0,0
Panasonic DMC-FZ20,6,9,,0,0
Canon EOS 350D DIGITAL,80,147,,0,0
OLYMPUS IMAGING CORP. E-M5,54,88,,0,0
Canon PowerShot A4000 IS,3,0,,0,0
Panasonic DMC-GX7,11,19,,0,0
OLYMPUS CORPORATION E-M1MarkII,22,46,,0,0
Canon PowerShot S5 IS,31,46,,0,0
Apple iPhone 11 Pro Max,5,7,,0,0
Leica Camera AG LEICA M10,3,9,,0,0
NIKON CORPORATION D40,127,189,,0,0
OLYMPUS IMAGING CORP. E-510,14,32,,0,0
