Camera Name,Count (Professional),Count (Non-professional)
XT1068,2,0
FC300S,1,0
DMC-GH1,4,0
ADR6400L,1,0
SIGMA SD14,2,0
FinePix S5200,5,0
DSC-H400,3,0
<Digimax S700 / Kenox S700 / Digimax Cyber 730>,1,0
XT1650,2,0
Canon PowerShot SD1400 IS,3,0
Canon PowerShot SX400 IS,4,0
Canon EOS R3,3,0
DSC-W1,3,0
iPad (5th generation),2,0
Canon PowerShot S40,2,0
KODAK EasyShare Z5010 Digital Camera,3,0
LM-Q730,1,0
Canon PowerShot SD960 IS,1,0
"u20D,S400D,u400D",4,0
278,4,0
KODAK EASYSHARE Z8612 IS Digital Camera,1,0
F5321,1,0
DMC-XS1,1,0
FinePix F30    ,1,0
X-S10,1,0
DSC-W90,6,0
SM-N910C,1,0
SM-G920T,1,0
Cymera,1,0
TG-630          ,1,0
Canon EOS-1D Mark II,6,0
NIKON D810A,1,0
Mi A2 Lite,1,0
KODAK DX6440 ZOOM DIGITAL CAMERA,3,0
SIGMA SD1 Merrill,2,0
"u1200,S1200",2,0
DSC-P8,2,0
"C3100Z,C3020Z",1,0
COOLPIX AW110,3,0
Caplio R5      ,1,0
iPad mini 4,1,0
Canon PowerShot G1 X Mark II,5,0
Pixel 2 XL,5,0
Canon PowerShot SX170 IS,4,0
iPhone 12 Pro Max,4,0
PENTAX K-5 II s,17,0
DMC-GF2,6,0
Canon PowerShot A640,4,0
DSC-H2,3,0
Canon PowerShot ELPH 170 IS,1,0
FinePix AV200,1,0
SAMSUNG PL210,2,0
PL211 / VLUU PL210,2,0
PL211,2,0
<Digimax S500 / Kenox S500 / Digimax Cyber 530>,4,0
DMC-TZ30,8,0
Canon PowerShot SD980 IS,1,0
COOLPIX L22,1,0
DSC-WX60,2,0
Canon DIGITAL IXUS 85 IS,3,0
Canon PowerShot SD500,4,0
E-450,7,0
FinePix HS25EXR,2,0
DiMAGE Z2,1,0
Canon PowerShot S110,8,0
Canon PowerShot G7 X,5,0
iPad Air 2,6,0
BlackBerry 8520,1,0
"u9000,S9000",1,0
Canon EOS Kiss Digital N,1,0
9000F,1,0
Lumia 1020,6,0
Canon PowerShot ELPH 110 HS,5,0
KODAK DX4330 DIGITAL CAMERA,4,0
DSC-HX350,4,0
DSC-W40,1,0
SM-G970U1,1,0
DSC-HX30V,1,0
VOG-L29,3,0
DIGITAL CAMERA,4,0
E-500,16,0
EOS 5D Mark IV,1,0
NIKON 1 J1,9,0
COOLPIX L4,2,0
SM-A500FU,3,0
F235,2,0
"u850SW,S850SW",4,0
COOLPIX P500,4,0
C3000Z,2,0
Canon PowerShot ELPH 520 HS,5,0
QSS-3011,2,0
"C4100Z,C4000Z",7,0
Pixel 3a,2,0
"FE310,X840,C530",1,0
"FE-120,X-700",1,0
CD MAVICA,3,0
DMC-TZ100,6,0
DMC-FH20,2,0
COOLPIX A900,5,0
E-620           ,2,0
DMC-FS7,1,0
DMC-LZ5,3,0
Canon PowerShot SX540 HS,2,0
E2200,1,0
COOLPIX L10,1,0
NIKON Z 50,6,0
DMC-FX7,3,0
ILCE-7S,5,0
E10a,1,0
KODAK EASYSHARE M1063 DIGITAL CAMERA,3,0
DMC-ZS5,4,0
DSC-WX220,2,0
PHANTOM VISION FC200,2,0
C905,1,0
Canon PowerShot SD850 IS,5,0
MAXXUM 7D,5,0
Perfection V700/V750,3,0
COOLPIX S9600,2,0
NIKON 1 V1,11,0
Canon PowerShot S30,2,0
Digimax A5,1,0
KODAK EASYSHARE DX3215 Zoom Digital Camera,1,0
KODAK V1233 ZOOM DIGITAL CAMERA,1,0
FinePix S9900W S9950W,2,0
COACH,4,0
SGH-M919,2,0
SLT-A37,3,0
Galaxy Nexus,3,0
CanoScan LiDE 220,2,0
DSC-S90,3,0
DMC-FX01,2,0
DSC-RX10,3,0
DMC-ZS8,7,0
Moto G (5),2,0
EOS 500N,2,0
DC-TZ93,2,0
EVA-L09,3,0
Canon IXUS 210,1,0
PENTAX *ist D,1,0
Canon PowerShot ELPH 310 HS,6,0
MAXXUM 5D,4,0
WAS-LX1A,1,0
DiMAGE Z5,6,0
DSC-WX80,2,0
DMC-ZS3,4,0
PENTAX K-3 Mark III,1,0
E775,2,0
Nikon D40 / Sigma 18~200mm f3.5-6.3 DC,1,0
Hasselblad H3D,1,0
PENTAX K20D        ,2,0
COOLPIX S210,2,0
CX6,1,0
N8008,1,0
Canon EOS M200,1,0
KODAK Z612 ZOOM DIGITAL CAMERA,6,0
SM-G991B,1,0
FinePix SL280,1,0
C-5000Z,2,0
COOLPIX P50,2,0
<Samsung i85,1,0
Samsung VLUU i85>,1,0
KODAK LS755 ZOOM DIGITAL CAMERA,1,0
P 40+,1,0
COOLPIX P500   ,2,0
PENTAX Optio 750Z,2,0
"VR340,D750",2,0
HTC 2PXH3,2,0
RNE-L21,1,0
DSC-H3,4,0
CanoScan LiDE 700F,1,0
SAMSUNG-SM-C105A,1,0
DMC-FZ100,9,0
DMC-FX37,1,0
Lumia 640 LTE,1,0
COOLPIX S620,1,0
"X-2,C-50Z",2,0
FinePix S9200 S9250 S9150,3,0
M2101K6G,1,0
SAMSUNG-SGH-I747,5,0
Canon EOS-1Ds Mark II,5,0
DSC-W80,8,0
SM-G973F,4,0
COOLPIX S4300,1,0
Canon DIGITAL IXUS 850 IS,2,0
NEX-3,4,0
Canon EOS Kiss X5,2,0
HDR-PJ430V,1,0
MYA-L41,1,0
LG-H320,1,0
Canon DIGITAL IXUS 70,4,0
LYA-L29,1,0
HD3,1,0
6700s,1,0
HP Photosmart M537,1,0
PENTAX Optio P70,1,0
<KENOX S760  / Samsung S760>,1,0
SGH-I317M,4,0
WB150 / WB150F / WB152 / WB152F / WB151 / WB151F,1,0
8.3.2,1,0
COOLPIX L100,2,0
KODAK EASYSHARE M340 Digital Camera,1,0
BLL-L22,1,0
Canon DIGITAL IXUS 960 IS,1,0
FinePix S200EXR,2,0
NX1,2,0
K790a,1,0
X-M1,4,0
VIE-L09,1,0
Hasselblad CFV II 50C,1,0
DC-TZ200,2,0
DiMAGE Xg,2,0
Filmscan 35mm,2,0
TG-310,1,0
DMC-G85,2,0
Canon IXUS 135,1,0
KODAK Z885 ZOOM DIGITAL CAMERA,2,0
V-LUX (Typ 114),2,0
SM-A520F,3,0
HUAWEI LYO-L21,2,0
"u720SW,S720SW",2,0
6280,1,0
ZN5,1,0
Canon PowerShot A2000 IS,2,0
DSC-S40,2,0
Canon PowerShot SX520 HS,2,0
DSC-HX100V             ,1,0
E4600,4,0
ILCE-7SM2,3,0
E-M10           ,1,0
DMC-LZ40,1,0
Canon DIGITAL IXUS 800 IS,4,0
SZ-10,1,0
SIGMA dp2 Quattro,1,0
SM-A515F,1,0
DSLR-A230,4,0
ILCE-6100,3,0
Perfection V37/V370,2,0
Canon EOS Rebel SL3,2,0
LG-H815,2,0
SM-G935V,2,0
COOLPIX L120,4,0
HERO4 Black,1,0
FC6520,1,0
C309a series,1,0
FC6310,3,0
DSC-HX10V,2,0
Canon EOS 200D,3,0
QSS-30,3,0
SAMSUNG WB600 / VLUU WB600 / SAMSUNG WB610,1,0
CX1,1,0
FinePix S1730,1,0
EK-GC200,1,0
DSC-S700,2,0
COOLPIX P1000,4,0
COOLPIX S3400,3,0
Digital Link,1,0
NIKON Z 9,2,0
SM-N910F,2,0
QV-4000,1,0
231,1,0
LG-D850,1,0
DMC-FP2,1,0
F100,2,0
X-T4,4,0
X-A1,1,0
DSC-W350,2,0
DMC-TS4,1,0
Canon DIGITAL IXUS i,2,0
PerfectionV600,5,0
SM-A505FN,2,0
C1905,1,0
SAMSUNG PL150 / VLUU PL150 / SAMSUNG TL210 / SAMSUNG PL151,2,0
VC6100Z,1,0
DMC-ZX3,3,0
Canon PowerShot A560,2,0
SM-J500FN,2,0
DSC-HX5V,9,0
DMC-TS1,5,0
EX-S500,1,0
LEICA CL,3,0
DMC-FZ15,2,0
DiMAGE Z6,1,0
iPad Air,2,0
EX1,1,0
DC-GH5,3,0
Perfection4990,1,0
RICOH GR III,6,0
Canon PowerShot SD950 IS,2,0
P45+,2,0
Canon PowerShot A2200,1,0
D6503,2,0
"FE47,X43",1,0
COOLPIX S6000,1,0
COOLPIX S630,2,0
iPad mini 2,2,0
"iPhone8,1",1,0
NIKON D70S,1,0
COOLPIX P7100,2,0
DMC-FZ2500,4,0
"VG110,D700",1,0
Canon DIGITAL IXUS 50,1,0
Canon PowerShot SD1200 IS,5,0
COOLPIX L840,1,0
DSC-W210,1,0
Hasselblad H3DII-31,2,0
E8400,2,0
"FE220,X785",1,0
HP ScanJet 3670,1,0
C-LUX 3,1,0
KODAK Z730 ZOOM DIGITAL CAMERA,1,0
ILCE-7RM4A,1,0
FinePix Z100fd,1,0
DSC-P92,2,0
DMC-ZR1,1,0
PENTAX Optio L60,1,0
OM-1,2,0
Canon EOS M6,3,0
COOLPIX S3,2,0
DMC-GF7,2,0
C765UZ,1,0
Canon PowerShot A3100 IS,3,0
FinePix A370,1,0
D-LUX 6,3,0
FinePixViewer Ver.5.4,1,0
DC-GH6,1,0
Canon PowerShot G2,4,0
FinePix JX530,1,0
FinePix 3800  ,1,0
E-520,4,0
DMC-TZ4,1,0
DC-TZ90,6,0
SM-A520W,1,0
COOLPIX P5100,2,0
SM-G960W,1,0
OpticFilm 7200,1,0
VS995,1,0
SP565UZ,1,0
PENTAX *ist DL,2,0
Lumia 930,1,0
EK-GC110,1,0
Exp10000XL10000 ,2,0
COOLPIX L110   ,1,0
DSLR-A500,1,0
Canon PowerShot S60,4,0
DMC-GF5,2,0
DIGILUX 3,3,0
PENTAX 645Z,2,0
D5803,3,0
iPhone 13 mini,1,0
FC330,2,0
FinePix F20,1,0
SM-J330FN,1,0
Hasselblad X1D-50c,1,0
PENTAX *ist DS,3,0
KODAK P712 ZOOM DIGITAL CAMERA,3,0
DMC-FT1,1,0
W600i,1,0
SM-N900V,2,0
PENTAX *ist DL2,1,0
FinePix S4800,2,0
DiMAGE Z1,3,0
E-P1            ,1,0
DSC-W310,2,0
FinePix S9100,2,0
Fire HD,2,0
SM-N910V,1,0
Nikon D3300,1,0
"uT6000,ST6000",1,0
TDC5010,1,0
FinePix S2000HD S2100HD,1,0
DSC-T33,1,0
DSC-V3,1,0
Canon DIGITAL IXUS 700,2,0
SP550UZ                ,2,0
Hasselblad H3D-39,1,0
Lumia 920,1,0
MotoE2(4G-LTE),1,0
N900,1,0
FinePix S4250WM,1,0
COOLPIX P330,4,0
FinePix F600EXR,1,0
"GXR MOUNT A12_PLANAR T* 2,0/50mm ZM",1,0
COOLPIX L25,1,0
SAMSUNG-SM-G930A,1,0
SP-2500,2,0
DSC-T7,1,0
"FE270,X815,C510",1,0
FinePix S6500fd,3,0
FinePix S9500  ,1,0
SIGMA DP1 Merrill,1,0
Pixel 3,4,0
SAMSUNG WB1100F/WB1101F/WB1102F,1,0
272,2,0
KODAK Z712 IS ZOOM DIGITAL CAMERA,3,0
DSC-W710,1,0
Canon EOS Kiss Digital X,2,0
FinePix T500,1,0
TG-2,1,0
E885,2,0
Canon EOS RP,5,0
6MP-9J5,1,0
SAMSUNG-SGH-I337,2,0
E-1,2,0
<KENOX S860  / Samsung S860>,1,0
"uD800,S800",2,0
DSC-P72,4,0
XT1254,1,0
Hitachi HBC161E,5,0
Pixel XL,1,0
XT1052,2,0
C3040Z,1,0
Optio E70L,1,0
2014813,1,0
SM-A320FL,1,0
FinePix F30,2,0
PENTAX K100D,4,0
FinePix J10,1,0
Canon PowerShot S80,2,0
DMC-G6,2,0
Sinar m,5,0
9000F Mark II,1,0
PENTAX 645Z        ,1,0
DC-ZS70,1,0
"u-miniD,Stylus V",2,0
Perfection V800/V850,2,0
LGL39C,1,0
FinePix F650,2,0
KODAK DIGITAL SCIENCE DC260 (V01.00),1,0
DC E43,1,0
Canon PowerShot G5 X,2,0
SPH-L720,1,0
COOLPIX S50,2,0
XA,1,0
AC2003,1,0
DMC-FX35,3,0
PENTAX Optio W10,2,0
305,4,0
DSC-W300,1,0
COOLPIX S9100,4,0
DMC-LS80,3,0
C460ZdelSol,1,0
DC-S1R,2,0
KODAK EASYSHARE V803 ZOOM DIGITAL CAMERA,1,0
PENTAX Optio A40,1,0
PENTAX Optio W60,3,0
KODAK CX6330 ZOOM DIGITAL CAMERA,1,0
COOLPIX B500,3,0
SM-N910G,1,0
SM-G920I,1,0
D-LUX2,1,0
E-PM2,4,0
FinePix F60fd,1,0
8600F,1,0
Digimax 201,2,0
MVC-CD500,1,0
FinePix S9600,2,0
LG-D852,1,0
PENTAX Optio WP,2,0
DMC-FX3,1,0
DSC-H55,4,0
SI-1080 Film Scanner Model DLS1640,1,0
DMC-GF3,1,0
FinePix JV170,1,0
Leaf Aptus-II 12(LI301655   )/Phase One 645DF/645AF,1,0
PerfectionV800,1,0
iPod touch,2,0
RICOH R10,2,0
PENTAX K-5         ,1,0
FDI Service / UnKnown Model,1,0
EX-Z9,1,0
LG-M327,1,0
Canon PowerShot S230,3,0
NIKON D2Xs,4,0
u15D,1,0
A1250,1,0
DSC-W370,1,0
PENTAX X90,1,0
<VLUU L730  / Samsung L730>,1,0
FinePix F770EXR,3,0
D80,2,0
Perfection V500,1,0
<Digimax S600 / Kenox S600 / Digimax Cyber 630>,2,0
COOLPIX S6600,2,0
HUAWEI MT7-L09,4,0
KODAK DX3900 ZOOM DIGITAL CAMERA,4,0
WAS-L03T,1,0
SM-J530F,1,0
SGH-T989,1,0
DMC-LS75,1,0
KODAK EASYSHARE C913 DIGITAL CAMERA,3,0
Canon PowerShot SX730 HS,2,0
COOLPIX L820,1,0
Nexus S,1,0
<KENOX S1050  / Samsung S1050>,2,0
 SAMSUNG WB500,1,0
WB510 / VLUU WB500 / SAMSUNG HZ10W,1,0
FinePix J120,1,0
PRAKTICA LTL 2,1,0
DiMAGE A2,1,0
PENTAX K10D        ,4,0
MI 9,2,0
200,1,0
COOLPIX P950,1,0
Canon PowerShot SD990 IS,5,0
E-PL2,3,0
Caplio GX100,3,0
TG-610,1,0
KODAK EASYSHARE ZD710 ZOOM DIGITAL CAMERA,2,0
Nikon F100,1,0
FinePix A400,1,0
EX-Z1080,1,0
DMC-FS15,3,0
X-E2S,3,0
Kodak CLAS Digital Film Scanner / HR200,1,0
Canon EOS Kiss X7,2,0
DMC-LX10,2,0
TG-870,1,0
KODAK EasyShare Z981 Digital Camera     ,2,0
CX1            ,1,0
C750UZ,4,0
Super Slim XS80,1,0
PENTAX ME,1,0
SAMSUNG GX20,2,0
110 Fisheye,1,0
DSC-WX500,2,0
DMC-ZS100,6,0
Photosmart M425,1,0
SP-620UZ,2,0
SZ-14,1,0
FinePix F900EXR,1,0
SAMSUNG GX10       ,1,0
NX11,1,0
SM-G965U,1,0
SX525WD/Office BX525WD,1,0
"uD600,S600      ",1,0
SM-N975U,1,0
VLUU ST5000,1,0
ST5000,1,0
TL240,1,0
FinePix S2750HD,1,0
E-PL6,2,0
DSC-P52,2,0
PENTAX Optio E50,2,0
CanoScan 8600F,2,0
DSC-W630,1,0
DMC-LZ6,1,0
RB67,1,0
MN35Z,1,0
NIKON 1 J3,1,0
DMC-FX12,2,0
ELE-L09,1,0
WB2000,1,0
"u1030SW,S1030SW ",1,0
FinePix SL240,1,0
SM-J610FN,3,0
Officejet Pro L7500,2,0
PLK-L01,1,0
MHS-CM1,1,0
SLT-A35,1,0
DLI-L22,1,0
SM-G800F,1,0
SCH-i920,1,0
Canon PowerShot D20,2,0
DMC-TS6,1,0
DSC-W690,2,0
DC-ZS80,1,0
FinePix F410,1,0
Canon PowerShot ELPH 300 HS,4,0
SM-G950U1,3,0
"FE340,X855,C560",1,0
KODAK Z760 ZOOM DIGITAL CAMERA,2,0
SGH-I337M,1,0
HERO5 Black,2,0
C-LUX 2,1,0
DMC-TZ31,1,0
X-Pro3,2,0
Photosmart M415,1,0
COOLPIX P530,2,0
NX mini,1,0
GT-X970,1,0
A880,1,0
Canon IXY DIGITAL 3000 IS,1,0
KOWA/SIX,1,0
SM-J510FN,1,0
Pixel 5,1,0
SCH-I500,1,0
SM-G925F,2,0
DMC-ZS20,5,0
FinePix S5Pro  ,1,0
"C40Z,D40Z",2,0
SM-F926U,1,0
STYLUS1,1,0
PENTAX K100D       ,2,0
KODAK DC3400 ZOOM DIGITAL CAMERA,1,0
u730/S730,1,0
COOLPIX P90  ,1,0
COOLPIX S2900,1,0
DMC-FX550,1,0
NX10,2,0
NIKON 1 J5,2,0
"u1040,S1040",1,0
FinePix AX655,1,0
KODAK EasyShare Z990 Digital Camera,4,0
moto g(60),1,0
PENTAX K-m,1,0
FC300X,1,0
DiMAGE Z20,1,0
PENTAX Optio WG-1 GPS,1,0
"u30D,S410D,u410D",3,0
Digital Cam,2,0
"u1010,S1010",2,0
COOLPIX P2,1,0
EX-S770,1,0
Nokia 6,1,0
HERO,1,0
Canon PowerShot A2400 IS,2,0
DMC-LX2,3,0
Canon EOS R10,1,0
E880,1,0
OpticFilm 120,3,0
C720UZ,1,0
"STYLUS1,1s",3,0
HERO4 Session,2,0
MD410Z3,2,0
iPhone 12 mini,1,0
"u1010,S1010     ",1,0
LEICA SL2,1,0
DSC-T90,1,0
DMC-FZ10,1,0
KODAK EASYSHARE Camera,1,0
M532,1,0
S2A,1,0
Canon DIGITAL IXUS 95 IS,1,0
GZ-HM320,1,0
Nikon SUPER COOLSCAN 4000 ED,2,0
FinePix Z10fd,1,0
EOS 1100D,1,0
DSC-T5,1,0
DMC-SZ3,1,0
Leaf Aptus-II 12(LI301417   )/Phase One 645DF/645AF,1,0
DSC-S500,2,0
DSC-RX100M7,1,0
HP pstc5500,1,0
"u700,S700       ",1,0
FinePix F810,1,0
Canon DIGITAL IXUS 950 IS,1,0
Pixel 4a (5G),2,0
Canon HV20,1,0
DMC-GM5,2,0
FinePix S8100fd,2,0
"uD600,S600",1,0
HB4116,1,0
SM-G998B,1,0
Konica Hexar RF,1,0
DSC-WX5,1,0
DSC-T20,1,0
DC-FZ85,1,0
SM-G991U,1,0
Canon PowerShot ELPH 135,1,0
Canon EOS M50m2,1,0
DiMAGE A1,2,0
Autocord,1,0
Canon PowerShot A3500 IS,1,0
OpticFilm 8200i,3,0
Pixel 2,3,0
C2-01,1,0
SAMSUNG WB650 / VLUU WB650 / SAMSUNG WB660,1,0
FinePix S5800 S800,3,0
CanoScan 8800F,3,0
DMC-FZ48,3,0
Canon PowerShot SD200,1,0
DSC-W220,2,0
LG-H870,1,0
CA004,1,0
HTC U11,1,0
Canon PowerShot ELPH 180,1,0
u5000                  ,1,0
CanoScan LiDE 100,2,0
GT-N7105,1,0
"FE210,X775",2,0
Canon EOS D30,2,0
SGH-I917,1,0
DSC-H300,2,0
SIGMA SD15,1,0
WB250F/WB251F/WB252F,1,0
Hasselblad X1D,2,0
SM-G925T,1,0
E-M1X,2,0
Canon IXUS 145,1,0
Canon PowerShot SD100,1,0
CLT-L09,1,0
FinePix S602 ZOOM,2,0
FinePixA204,1,0
COOLPIX S4,3,0
EX-H10     ,1,0
HP PhotoSmart R927  (V01.00),1,0
SM-G935T,2,0
DMC-FZ30,2,0
235,1,0
E-PL5           ,1,0
FinePix S5500,1,0
JAD-LX9,1,0
"VG130,D710",1,0
KODAK EASYSHARE M763 DIGITAL CAMERA,1,0
SAMSUNG ES73 / VLUU ES73 / SAMSUNG SL605,1,0
N93,1,0
Nokia Lumia 900,1,0
280,2,0
SZ-30MR,1,0
Yashica Mat EM,1,0
DSC-WX100,1,0
Canon PowerShot G1,4,0
FinePix F40fd,1,0
Canon PowerShot SX600 HS,3,0
KODAK EASYSHARE M530 Digital Camera,1,0
Canon EOS-1N,1,0
Pacemaker Crown Graphic,1,0
NEM-L51,1,0
D3100,1,0
FinePix A340,1,0
GR Digital     ,1,0
LEICA S (Typ 006),1,0
Canon DIGITAL IXUS 860 IS,1,0
FinePix Z1,2,0
FinePix A700,1,0
HERO6 Black,1,0
DSC-RX100M6,5,0
DMC-TZ19,1,0
Canon EOS Kiss X3,1,0
PENTAX MX-1,1,0
FinePix AX550,1,0
C4040Z,1,0
HTC_0P6B,1,0
COOLPIX S9200,2,0
KODAK CX7530 ZOOM DIGITAL CAMERA,2,0
FinePix S9000  ,1,0
SAMSUNG ST65 / VLUU ST65 / SAMSUNG ST67,1,0
Phone 2,1,0
Pixel 6 Pro,1,0
SP350,2,0
FinePix F440,1,0
DSC-W150,1,0
942P,1,0
GR DIGITAL 2   ,1,0
DC-8300,1,0
XT1032,1,0
Canon DIGITAL IXUS 200 IS,1,0
Perfection V800,1,0
SP570UZ,1,0
FinePix F460,1,0
FinePix S2980,1,0
E-M10MarkIV,1,0
K013,1,0
Canon PowerShot SD970 IS,1,0
OpticFilm 7300,1,0
E-1             ,1,0
LEICA M10-P,1,0
<VLUU L830  / Samsung L830>,1,0
COOLPIX W300,1,0
NEX-VG30,1,0
HTC One,1,0
COOLPIX P1,1,0
Canon DIGITAL IXUS 900Ti,1,0
DMC-FT3,1,0
STYLUS1         ,1,0
VSCOcam,1,0
Canon PowerShot SX70 HS,2,0
Zarya,1,0
DMC-LZ3,1,0
Lumia 640 XL Dual SIM,1,0
KODAK CX7430 ZOOM DIGITAL CAMERA,1,0
ILCE-7M4,2,0
MAMIYA ZD,1,0
Spotmatic II,1,0
SP600UZ,1,0
Moto C,1,0
Lumia 650,1,0
TG-830,1,0
IS-1,2,0
DiMAGE Z3,1,0
7610 series,1,0
FinePix XP130 XP131 XP135,1,0
SP-820UZ,1,0
DC-TZ220,2,0
PENTAX Optio E30,2,0
DMC-FT20,1,0
Canon PowerShot A60,1,0
Canon EOS-1D,2,0
moto z3,1,0
DMC-FH22,1,0
Canon DIGITAL IXUS 65,2,0
GT-I8260,1,0
SIGMA fp,1,0
Canon EOS 2000D,2,0
COOLPIX S9700,1,0
DSC-WX150,1,0
TS3100 series,1,0
Super 66,2,0
DMC-LS5,1,0
DC-FZ10002,1,0
E-600,1,0
MP240 series,1,0
FinePix S5Pro,2,0
SCH-S738C,1,0
FinePix JX560,1,0
Canon EOS Kiss Digital,1,0
SIGMA DP2S,1,0
Lumia 925,1,0
LG-VX8700,1,0
Samsung S850,1,0
DiMAGE X,1,0
X-E3,4,0
PENTAX Optio 550,1,0
HTC6525LVW,1,0
Moto G Play,2,0
SAMSUNG ES60 / VLUU ES60 / SAMSUNG SL105 / SAMSUNG ES63,1,0
E950,2,0
E-300           ,1,0
Hueless on iPhone,1,0
340,1,0
FinePix A500,1,0
DiMAGE 7i,1,0
367,1,0
KODAK DX6490 ZOOM DIGITAL CAMERA,2,0
EOS 1000D,1,0
RAINBOW LITE,1,0
PENTAX Optio S1,1,0
DMC-FX520,1,0
DMC-G81,1,0
DMC-GX7MK2,1,0
P 65+,1,0
DiMAGE 5,1,0
HTC One M8s,1,0
SM-G955F,2,0
DiMAGE X50,1,0
Canon PowerShot ELPH 130 IS,1,0
moto g stylus 5G,1,0
C700UZ,1,0
SM-S908U,1,0
DSC-V1,1,0
COOLPIX S52,1,0
MP560 series,1,0
MP550 series,1,0
DSC-W320,2,0
GXR S10,1,0
Canon PowerShot A1200,1,0
SM-G970F,1,0
Lumia 929,1,0
SLT-A77,1,0
DMC-FS5,1,0
Canon PowerShot A80,1,0
PENTAX *ist D      ,1,0
N86 8MP,1,0
SM-J727V,1,0
LG-F500S,1,0
Caplio R7,1,0
"E-20,E-20N,E-20P",1,0
 SAMSUNG WB550,1,0
WB560 / VLUU WB550 / SAMSUNG HZ15W,1,0
W800i,2,0
FinePix Z35,1,0
FinePix S6000fd,1,0
Automatic 100,1,0
D-Lux 7,1,0
PENTAX K-30        ,1,0
HP psc1200,1,0
FinePix F550EXR,2,0
DSC-W30,1,0
Canon PowerShot G5 X Mark II,1,0
KODAK EASYSHARE M1033 DIGITAL CAMERA,1,0
CLE,1,0
PerfectionV700,2,0
PENTAX Optio WG-1,1,0
SM-A725F,1,0
EX-S10,1,0
OpticFilm7600i,1,0
SM-G965F,1,0
NX1000,1,0
COOLPIX S200,2,0
DMC-ZS7,1,0
GT-S7580,1,0
DMC-TZ9,1,0
HP psc1300,1,0
HP PhotoSmart C945 (V01.52),1,0
XT1060,1,0
SM-G981U,2,0
SM-G930T,1,0
Canon IXY DIGITAL 400,1,0
Canon EOS 250D,3,0
Smena-8M,1,0
DMC-ZS1,3,0
C6903,1,0
EX-Z40,1,0
PictureGear,1,0
Oggl,1,0
Canon DIGITAL IXUS 75,2,0
& Pixite Fragment,1,0
SM-J530Y,1,0
SM-N950W,1,0
FC2103,1,0
Canon PowerShot A495,1,0
TS3400 series,1,0
DSC-W130,1,0
PENTAX Optio M10,1,0
COOLPIX AW130,1,0
COOLPIX S9050,1,0
FinePix F60fd  ,1,0
DSLR-A560,1,0
Canon EOS Rebel T7,2,0
PENTAX Q-S1,1,0
LEICA M11,1,0
DigitalCAM,1,0
S2 Film Scanner,2,0
CX3,1,0
EX-Z850,2,0
DMC-FH5,1,0
SM-N960U,1,0
"uT8000,ST8000",1,0
KODAK C360 ZOOM DIGITAL CAMERA,2,0
Canon EOS M2,1,0
DMC-LX15,3,0
SAMSUNG-SM-N910A,1,0
FC3582,2,0
EX-ZR100,1,0
FinePix J210,1,0
Lumia 1520,1,0
Olympus OM-1,1,0
SIGMA SD1,1,0
PENTAX X70,2,0
XF1,1,0
HP PhotoSmart 715,1,0
COOLPIX S3700,1,0
Lumia 950 XL,1,0
COOLPIX S5200,1,0
Scan Elite II,1,0
Canon DIGITAL IXUS 870 IS,1,0
DSC,1,0
iPad mini,1,0
SM-G965U1,1,0
DMC-LZ7,1,0
SIGMA DP1,1,0
SM-G900H,2,0
NX30,2,0
Film Scanner,1,0
D200,1,0
SAMSUNG SL620,1,0
C3-00,1,0
FinePix2800ZOOM,2,0
WB800F,1,0
COOLPIX S600,1,0
KODAK EASYSHARE C653 ZOOM DIGITAL CAMERA,2,0
COOLPIX L3,1,0
5800 Xpres,1,0
Canon IXUS 125 HS,1,0
iPod Touch,1,0
C3030Z,1,0
EX-S600,1,0
COOLPIX L28,1,0
COOLPIX S3100,1,0
"FE4000,X920,X925",1,0
Canon PowerShot ELPH 510 HS,1,0
DC-G90,1,0
Canon K2,1,0
Digimax A7/Kenox D7,1,0
KODAK EASYSHARE C743 ZOOM DIGITAL CAMERA,1,0
Sinar p3 / f3,1,0
HP Photosmart M540,1,0
sd Quattro H,2,0
Canon IXY DIGITAL 900 IS,1,0
LS-50,2,0
MX-2700,1,0
GT-I9506,1,0
Perfection V550,1,0
Canon PowerShot A400,1,0
DYNAX 5D,1,0
DSC-U30,1,0
"iPhone10,5",1,0
YDXJ 1,1,0
Canon IXUS 265 HS,1,0
SM-C111,1,0
K20D,1,0
G8441,1,0
"X550,D545Z,C480Z",1,0
Scanjet G4050,1,0
OpticFilm 7600i,1,0
FinePix 3800,1,0
PENTAX K-3 II      ,1,0
Studio,1,0
HP psc1500,1,0
DSC-W730,1,0
LiDE 210,1,0
SLA-L22,1,0
J4,1,0
Canon DIGITAL IXUS 55,1,0
Canon DIGITAL IXUS 400,1,0
"FE4020,X940     ",1,0
KODAK EASYSHARE C613 ZOOM DIGITAL CAMERA,1,0
KODAK C330 ZOOM DIGITAL CAMERA,1,0
Caplio R4,1,0
FinePix F47fd  ,1,0
Photosmart M407,1,0
FinePix Z20fd,1,0
FinePix6900ZOOM,1,0
EX1    ,1,0
Yashica Mat-124G,1,0
PENTAX Optio330RS,1,0
Yashica Mat 124,1,0
Canon PowerShot ELPH 115 IS,1,0
E-P3            ,1,0
KODAK EASYSHARE C180 Digital Camera,1,0
PureShot for Apple iPhone 5s,1,0
FinePix S5200  ,1,0
DSC-QX10,1,0
ST66 / ST68,1,0
Canon DIGITAL IXUS 750,1,0
