Camera Name,Count (Professional),Count (Non-professional)
NIKON Z fc,2,0
DMC-ZS60,8,0
C740UZ,7,0
Canon PowerShot SX700 HS,6,0
DMC-GX80,8,0
ILCE-6300,23,0
DSC-H50,6,0
SM-G930V,14,0
Canon PowerShot G10,31,0
FinePix S3300,2,0
Canon PowerShot SX30 IS,13,0
CanoScan 9950F,1,0
DMC-FZ72,21,0
DSC-HX100V,11,0
Canon PowerShot SD700 IS,16,0
Canon EOS 1300D,7,0
MP280 series,2,0
Canon PowerShot A40,3,0
DMC-LX3,18,0
PENTAX K-1 Mark II,5,0
uTough-8010,3,0
NIKON D3,38,0
"C180,D435",1,0
DSC-RX100M4,14,0
Canon PowerShot SX230 HS,14,0
Canon PowerShot SX20 IS,24,0
Canon PowerShot G9 X Mark II,11,0
DSC-HX9V               ,1,0
Canon PowerShot A520,3,0
Canon PowerShot A10,1,0
DMC-GX7,9,0
Canon EOS DIGITAL REBEL,32,0
DMC-TZ22,1,0
Canon PowerShot SD870 IS,9,0
PENTAX Optio WPi,2,0
QSS-32_33,22,0
DSC-HX1,11,0
DSC-HX90,2,0
Canon EOS 20D,76,0
iPhone 4,30,0
HP psc1310,1,0
DMC-FZ7,8,0
Pixel 3 XL,1,0
NEX-6,12,0
FinePix JZ310,2,0
X20,15,0
DMC-GF1,15,0
DSC-W830,12,0
DSC-HX9V,40,0
GT-I9505,6,0
EX-S3,1,0
ILCE-7M3,43,0
Canon PowerShot SX120 IS,17,0
SLT-A65V,56,0
NIKON D7500,42,0
267,1,0
Canon PowerShot SX10 IS,19,0
KODAK EasyShare Z981 Digital Camera,8,0
DMC-FZ70,11,0
KODAK EASYSHARE Z1085 IS ZOOM DIGITAL CAMERA,3,0
iPhone 6 Plus,45,0
iPhone 14 Pro Max,3,0
Canon PowerShot S400,9,0
SLT-A55V,25,0
SM-G935F,4,0
GR DIGITAL 4,5,0
Canon EOS 760D,33,0
SIGMA DP3 Merrill,3,0
NEX-5N,18,0
LEICA M (Typ 240),18,0
DSC-W290,5,0
DSLR-A580,10,0
FinePix X100,25,0
GFX 50R,3,0
Canon PowerShot SD1100 IS,8,0
DSC-T1,1,0
DMC-FZ5,7,0
Canon EOS R5,27,0
PENTAX K-3         ,3,0
Canon PowerShot SX280 HS,4,0
Nikon F,1,0
iPhone 6s,57,0
DMC-FZ200,40,0
SAMSUNG-SM-G900A,4,0
DSC-HX300,10,0
KODAK EASYSHARE M531 Digital Camera,2,0
PENTAX Optio RZ10,2,0
X-E2,15,0
EX-Z1050,2,0
DSC-W180,1,0
NIKON D40X,48,0
DMC-FZ38,15,0
NIKON D5,14,0
COOLPIX S6700,1,0
Canon EOS Rebel T6i,30,0
DMC-FZ18,15,0
ILCE-6600,2,0
Canon PowerShot SD10,1,0
E-330,5,0
DSC-HX200V,9,0
E-M10 Mark III,5,0
DSC-W270,2,0
DSC-W530,2,0
Canon PowerShot G12,37,0
"C70Z,C7000Z",2,0
FinePix SL1000,3,0
KODAK EASYSHARE C143 Digital Camera,6,0
hp photosmart 720,1,0
DMC-FZ3,5,0
E2500,1,0
DMC-TZ6,4,0
Canon PowerShot A510,12,0
HUAWEI G6-L22,2,0
COOLPIX L810,5,0
DSLR-A100,33,0
SP560UZ,5,0
iPhone 12 Pro,6,0
Canon PowerShot SD750,9,0
PG06100,1,0
iPhone 8,34,0
FinePix JZ250/JZ260,1,0
DSC-RX10M3,30,0
PENTAX K-5 II,13,0
Canon EOS R7,1,0
DSC-WX10,1,0
S1,4,0
Canon PowerShot A480,2,0
Canon PowerShot S1 IS,8,0
Canon PowerShot SX260 HS,19,0
Canon EOS REBEL T5,23,0
Lumia 635,2,0
Canon PowerShot A650 IS,18,0
Canon IXUS 275 HS,2,0
Canon EOS R6,14,0
BLN-L21,1,0
NEX-C3,2,0
Canon PowerShot SD400,4,0
N8-00,6,0
FinePix F100fd,3,0
DSC-W55,14,0
NEX-5,13,0
NIKON D70s,43,0
DMC-FS35,4,0
D-LUX (Typ 109),2,0
DSLR-A330,6,0
DMC-FZ40,5,0
NIKON D5600,28,0
Canon PowerShot G7 X Mark II,9,0
DSC-HX60V,9,0
EOS 7D,2,0
SM-G970U,4,0
COOLPIX S2700,1,0
HP PhotoSmart C812 (V09.32),2,0
Canon PowerShot S500,3,0
M8 Digital Camera,4,0
DMC-TZ20,4,0
Canon PowerShot A710 IS,13,0
SLT-A99V,24,0
DSLR-A700,19,0
Canon PowerShot A95,9,0
C,1,0
Canon EOS 1100D,29,0
DSLR-A380,5,0
SP-2000,9,0
Canon PowerShot S5 IS,42,0
NIKON D3000,38,0
Canon PowerShot A490,9,0
Canon PowerShot A85,2,0
HP ScanJet 3500,1,0
DSC-T200,1,0
FinePix S8000fd,53,0
DMC-GX1,8,0
Canon PowerShot A700,5,0
COOLPIX P310,2,0
FinePix XP120 XP121 XP125,1,0
iPad,5,0
EZ Controller,17,0
DMC-G1,26,0
2.0 Megapixel,1,0
X100F,19,0
DSC-WX200,1,0
PENTAX K-r,4,0
Canon EOS 5DS R,25,0
NV24HD,1,0
VLUU NV24HD,1,0
LANDIAO NV106HD,1,0
FinePix S4200,3,0
DMC-TZ57,1,0
Canon PowerShot SD780 IS,5,0
PENTAX K-50,14,0
E7600,5,0
"FE170,X760",2,0
Canon EOS Kiss X2,2,0
Canon EOS-1D X Mark II,34,0
Canon PowerShot A720 IS,10,0
DMC-FZ62,3,0
COOLPIX L20,1,0
Canon EOS 4000D,1,0
COOLPIX S8100,3,0
COOLPIX L11,36,0
M9 Digital Camera,25,0
Canon PowerShot S90,12,0
SP500UZ,7,0
DC-G9,11,0
LG-H812,2,0
DSC-HX80,4,0
SM-G960F,7,0
Canon EOS 300D DIGITAL,12,0
COOLPIX S9500,4,0
DSC-HX60,7,0
iPhone XS Max,9,0
E-620,14,0
"C2,D230",1,0
SLT-A58,11,0
PENTAX Optio A30,1,0
Canon PowerShot SX160 IS,6,0
Canon PowerShot G3,6,0
DMC-GF6,3,0
Canon PowerShot A1100 IS,8,0
ILCE-3000,2,0
SM-G975F,2,0
Canon IXUS 190,5,0
iPhone 7 Plus,35,0
NIKON D800E,59,0
DSC-RX1,11,0
E-420           ,2,0
Digimax L60,1,0
SM-G930P,1,0
Canon PowerShot SD550,4,0
FinePix S9000,4,0
KODAK Z1285 ZOOM DIGITAL CAMERA,2,0
277,2,0
COOLPIX P600,6,0
E5600,3,0
Canon PowerShot SD600,12,0
Canon PowerShot G7,17,0
FinePix F420,2,0
FinePix F300EXR,3,0
COOLPIX P510,17,0
Photosmart M627,1,0
Canon EOS 1000D,27,0
DSC-HX50V,5,0
iPhone 14 Pro,2,0
DSC-W100,2,0
DSC-RX10M2,4,0
HP pst_p02b,1,0
FinePix S1000fd,7,0
Perfection 4990,2,0
251,1,0
DMC-LX5,25,0
KODAK C875 ZOOM DIGITAL CAMERA,2,0
Canon EOS-1D Mark IV,38,0
SP550UZ,10,0
Canon EOS M3,4,0
iPhone 3GS,6,0
HDR-CX550V,2,0
DSC-RX1RM2,21,0
E995,5,0
X100S,23,0
DSLR-A57,1,0
SM-G920V,3,0
Canon PowerShot ELPH 300HS,3,0
DSC-S930,1,0
LEICA M10,11,0
DSLR-A390,3,0
X-H1,14,0
X100T,10,0
E5000,4,0
COOLPIX P7800,8,0
R831L,1,0
EX-Z100,1,0
D-LUX 5,4,0
<Digimax S800 / Kenox S800>,1,0
MX-1200,1,0
iPhone X,18,0
Canon PowerShot S50,2,0
DSC-H10,9,0
Canon PowerShot S100,12,0
DMC-FX8,1,0
D6603,3,0
NIKON 1 V3,4,0
G1,2,0
SM-G357M,1,0
VE-CG30,1,0
DSC-RX100M5,13,0
EOS DIGITAL REBEL XTi,3,0
FC300C,1,0
Canon PowerShot SX130 IS,10,0
E4300,2,0
Canon EOS 850D,1,0
EX-Z3,1,0
ILCE-7RM4,17,0
Fujifilm A170 A180,4,0
COOLPIX P5000,5,0
TG-3,5,0
DMC-LX100,16,0
KODAK EASYSHARE C813 ZOOM DIGITAL CAMERA,4,0
DSC-WX350,2,0
Canon PowerShot SX710 HS,9,0
KODAK EASYSHARE Z1012 IS Digital Camera,2,0
DMC-GH4,7,0
Nexus S 4G,1,0
E-PL5,18,0
Canon PowerShot A570 IS,3,0
X-S1,8,0
EX-F1      ,2,0
"VR310,D720",2,0
Canon PowerShot A590 IS,7,0
NIKON D3X,10,0
ILCE-9M2,5,0
NX300,7,0
Canon XC10,1,0
PENTAX K100D Super,8,0
Canon PowerShot SX510 HS,14,0
E-300,5,0
ViviCam 8625,1,0
X-T30,4,0
ADR6300,1,0
NEX-3N,3,0
COOLPIX P300,2,0
ILCE-6400,6,0
Canon EOS 1200D,22,0
Canon PowerShot A2300,9,0
NIKON Z 7,26,0
DSC-H9,8,0
TRT-LX2,1,0
DMC-FZ150,20,0
FinePix S5000,14,0
KODAK Z812 IS ZOOM DIGITAL CAMERA,6,0
C2040Z,1,0
"X600,D630,FE5500",3,0
NIKON D1X,3,0
X-Pro2,29,0
SM-J327V,1,0
iPhone SE (2nd generation),5,0
Canon DIGITAL IXUS 90 IS,2,0
Canon MG3600 series Network,2,0
Canon EOS Rebel T6,13,0
X-T10,13,0
FinePix S9800 S9850 S9750,4,0
COOLPIX S51,1,0
DMC-GH3,11,0
Canon DIGITAL IXUS 60,2,0
FinePix HS10 HS11,11,0
FinePix S5700 S700,16,0
PENTAX Optio 555,3,0
Canon PowerShot SX610 HS,5,0
COOLPIX S3300,6,0
COOLPIX S3500,5,0
Microscope,1,0
E-P5,13,0
C7070WZ,2,0
DMC-TZ35,11,0
FinePix F47fd,1,0
FinePix S4500,3,0
GT-S5830,2,0
FinePix F480,4,0
NEX-7,18,0
DMC-TZ18,9,0
DC-ZS200,1,0
PENTAX K-S2,9,0
CrystalScan 7200,1,0
PENTAX K200D       ,2,0
FinePix S9500,4,0
E-510,27,0
NIKON Z 6,25,0
E-5,18,0
SM-S727VL,2,0
Nexus 5,6,0
Canon PowerShot G15,18,0
E3200,1,0
DSC-R1,16,0
FinePix S1,6,0
COOLPIX P100,4,0
DSC-RX100M3,34,0
DMC-FZ50,6,0
DiMAGE S414,4,0
KODAK EASYSHARE V1003 ZOOM DIGITAL CAMERA,2,0
PENTAX *ist DS2    ,1,0
GT-N7100,2,0
iPhone 11,8,0
NIKON D2X,11,0
E-420,10,0
Canon PowerShot SX530 HS,12,0
DSC-W230,3,0
COOLPIX L830,5,0
PENTAX Optio E80,1,0
DSC-H90,6,0
Canon PowerShot SX100 IS,15,0
Canon PowerShot SD1000,13,0
PENTAX K200D,8,0
Canon EOS M,14,0
Canon PowerShot S120,9,0
FinePix S5100,2,0
X30,2,0
Nikon SUPER COOLSCAN 5000 ED,14,0
DMC-G3,27,0
FinePix S4300,1,0
E-M1MarkII      ,3,0
ILCE-6500,5,0
C760UZ,5,0
Canon EOS 800D,12,0
DMC-GM1,10,0
"X100,D540Z,C310Z",2,0
11000XL,1,0
COOLPIX P80,6,0
FinePix HS50EXR,13,0
QV-R40,3,0
E-PL1           ,2,0
EK-GC100,2,0
E4100,2,0
DiMAGE A200,3,0
Picture Kiosk G4,3,0
COOLPIX P90,11,0
E-PL7,7,0
Flip-Pal 100C,1,0
Canon PowerShot G5,4,0
AE-1,1,0
"FE320,X835,C540",1,0
FinePix A820,4,0
Canon EOS M5,8,0
VLUU L210  / Samsung L210,1,0
F - 100,1,0
KODAK EASYSHARE Z915 DIGITAL CAMERA,2,0
COOLPIX S6200,1,0
Canon PowerShot SD900,1,0
MX340 series,1,0
DMC-TZ5,9,0
DSC-WX1,2,0
StylusTough-8010,2,0
D-LUX 4,7,0
FinePix S1500,7,0
DSC-H20,3,0
L16,1,0
NX3000,3,0
NIKON Z 5,4,0
"FE5010,X915",1,0
NIKON D3500,7,0
LS-9000,3,0
KODAK Z1275 ZOOM DIGITAL CAMERA,1,0
DMC-TZ8,15,0
DSC-TX10,1,0
NIKON D2Hs,3,0
NX10           ,2,0
COOLPIX B700,9,0
D90,2,0
LEICA Q2,4,0
FinePix XP20,3,0
COOLPIX S2500,2,0
FinePix S2950,9,0
Canon PowerShot A620,13,0
Pixel 4,1,0
iPhone 5c,14,0
DMC-G5,6,0
SM-G930W8,4,0
DC-FZ82,11,0
C902,1,0
SP590UZ,1,0
Canon PowerShot SD630,5,0
V-LUX 3,3,0
CanoScan 9000F Mark II,4,0
Canon EOS 90D,17,0
iPhone 12,3,0
Canon PowerShot G6,5,0
LEICA M MONOCHROM (Typ 246),2,0
Canon EOS-1D Mark III,16,0
iPhone 11 Pro Max,14,0
E-10,1,0
NEX-5R,7,0
FC220,7,0
E-3             ,3,0
FinePix F70EXR,2,0
SM-G973W,2,0
SCH-I535,4,0
COOLPIX P6000,2,0
LEICA TL2,1,0
NEX-5T,8,0
NIKON D100,8,0
E-5             ,1,0
Canon PowerShot A3300 IS,1,0
EX-Z1050   ,2,0
LiDE 110,2,0
CaplioG3 modelM,1,0
KODAK EASYSHARE M580 DIGITAL CAMERA,1,0
Canon PowerShot SD4000 IS,3,0
SM-A310F,3,0
E-PL3,4,0
Mi 9T,1,0
COOLPIX S7000,2,0
TG-5,4,0
Canon PowerShot SX220 HS,4,0
DMC-G80,7,0
ILCE-9,11,0
X100V,5,0
DMC-TZ80,7,0
FinePix S100FS,7,0
DMC-GX8,13,0
Canon PowerShot A470,4,0
X-T3,14,0
DMC-TZ25,8,0
COOLPIX A,3,0
GR,11,0
DSC-W200,3,0
DMC-FZ47,4,0
Canon EOS 5DS,10,0
E-410,4,0
DSC-T70,2,0
FinePix HS20EXR,9,0
DSC-W5,2,0
DSC-P93A,3,0
Stylus Photo TX800FW,2,0
X10,10,0
FinePixS2Pro,3,0
E-P3,7,0
KODAK EASYSHARE Z1015 IS DIGITAL CAMERA,3,0
ASUS_X008DC,1,0
Canon PowerShot A4000 IS,2,0
FinePix Z33WP,1,0
FinePix S2500HD,2,0
TG-810          ,1,0
SCH-U960,1,0
DMC-ZS10,8,0
COOLPIX S6800,2,0
E5200,2,0
NIKON 1 V2,1,0
PENTAX K-1,18,0
DC-GF9,2,0
PENTAX K-7,12,0
DSC-RX100M2,17,0
Canon PowerShot ELPH 150 IS,3,0
DSC-P200,8,0
Canon PowerShot SX720 HS,7,0
SH-25MR,1,0
FinePix S1800,5,0
DMC-LX7,13,0
Canon IXUS 500 HS,1,0
FinePix S5600,3,0
FinePix S7000 ,2,0
Canon PowerShot SD800 IS,7,0
Nexus 5X,1,0
Canon DIGITAL IXUS 500,4,0
moto g stylus,3,0
Canon PowerShot SD890 IS,5,0
SM-N910W8,1,0
GT-I9100,3,0
E-PM1,6,0
SM-G960U,2,0
E990,1,0
Canon EOS Rebel T7i,19,0
DMC-FX9,3,0
PENTAX *ist DS2,1,0
E2000,3,0
WB200F/WB201F/WB202F,1,0
KODAK EASYSHARE Z710 ZOOM DIGITAL CAMERA,4,0
DSC-W50,2,0
ZTE,1,0
DSC-HX7V,4,0
PENTAX K2000,1,0
PENTAX K1000,1,0
Canon PowerShot A610,14,0
C-Lux,2,0
DSC-P10,2,0
"C990Z,D490Z",3,0
DSLR-A450,4,0
DMC-TZ40,12,0
iPhone 11 Pro,4,0
Canon PowerShot SX500 IS,5,0
"FE280,X820,C520",2,0
HUAWEI KII-L05,1,0
FinePix S8200,2,0
PS3600,2,0
"u710,S710",3,0
uTough-8010     ,1,0
LT30p,3,0
DYNAX 7D,3,0
Canon PowerShot S45,1,0
DMC-LF1,9,0
iPhone XS,8,0
KODAK V530 ZOOM DIGITAL CAMERA,2,0
Moto G (4),3,0
Canon PowerShot SX410 IS,2,0
Canon EOS-1D X Mark III,3,0
NIKON D100 ,2,0
DMC-GX85,9,0
WB700,4,0
VS986,6,0
Canon PowerShot SX270 HS,1,0
Canon PowerShot A430,1,0
WB690,4,0
Canon PowerShot D10,5,0
<Digimax S830 / Kenox S830>,1,0
SIGMA DP2 Merrill,8,0
DSC-H70,2,0
Canon PowerShot SX240 HS,7,0
MP990 series,1,0
DMC-ZS40,1,0
NIKON D6,1,0
Canon IXUS 105,2,0
E-P2,6,0
CanoScan 5600F,1,0
FinePix J30 J32 J38,3,0
C5060WZ,1,0
LEICA SL (Typ 601),5,0
Canon PowerShot Pro1,4,0
SM-J100H,1,0
PHOTOfunSTUDIO,1,0
DSC-S650,2,0
TG-4,4,0
Canon PowerShot SD450,4,0
Canon PowerShot S330,1,0
J10i2,1,0
C8080WZ,2,0
CYBERSHOT,19,0
SM-A525F,1,0
KODAK C310 DIGITAL CAMERA,5,0
Canon MP480 series,1,0
XT1585,1,0
YAL-L21,4,0
DMC-TZ70,9,0
EVO,1,0
Canon DIGITAL IXUS 110 IS,1,0
HP PhotoSmart C945 (V01.67) ,1,0
ILCE-1,4,0
Nikon SUPER COOLSCAN 9000 ED,2,0
DSC-W12,1,0
COOLPIX S6100,3,0
DSC-H7,7,0
StylusTough-6020,1,0
Canon PowerShot A630,11,0
PENTAX KP          ,1,0
DSC-W170,3,0
Canon PowerShot ELPH 190 IS,3,0
E-400,3,0
COOLPIX L31,1,0
PENTAX Optio W80,2,0
DMC-FZ20,7,0
Canon PowerShot G3 X,7,0
SM-G930F,7,0
SM-G985F,2,0
HUAWEI Y530-U00,1,0
E-510           ,6,0
FinePix S4000,5,0
E-M5MarkII      ,2,0
KODAK EASYSHARE CX6230 ZOOM DIGITAL CAMERA,1,0
EPSON scanner,5,0
DSC-W7,4,0
DMC-G7,7,0
COOLPIX P520,6,0
Canon DIGITAL IXUS 80 IS,9,0
XZ-1,4,0
COOLPIX P80  ,2,0
GT-I8160,1,0
RICOH R8,1,0
K750i,1,0
E4200,4,0
DMC-FX07,3,0
Canon PowerShot A75,4,0
EML-L29,1,0
DSC-P100,3,0
BlackBerry 9530,1,0
Canon PowerShot SX1 IS,6,0
DMC-ZS45,1,0
COOLPIX P610,12,0
DSLR-A550,11,0
DSC-HX20V,2,0
<KENOX S730  / Samsung S730>,1,0
DSC-TX20,5,0
KODAK DX7630 ZOOM DIGITAL CAMERA,2,0
DMC-TZ1,15,0
iPhone SE (1st generation),3,0
NIKON 1 J2,1,0
"FE115,X715",1,0
COOLPIX A100,2,0
KODAK EASYSHARE M753 ZOOM DIGITAL CAMERA,1,0
PENTAX K20D,13,0
Canon IXUS 300 HS,1,0
HTC 10,1,0
FinePix S3100,6,0
S1  ,1,0
COOLPIX P7700,5,0
E-500           ,4,0
DC-GX9,5,0
KODAK DX7440 ZOOM DIGITAL CAMERA,5,0
SIGMA DP2,2,0
i531,2,0
"X-3,C-60Z",5,0
MotoG3,1,0
NIKON D780,1,0
E5400,4,0
DMC-ZS50,4,0
SO-03H,2,0
SCH-R760,1,0
Sinarback 54 FW,7,0
Sinarcam 2 (Stand Alone),1,0
Vivicam4000,1,0
Canon PowerShot S410,3,0
FinePix F10,5,0
Canon PowerShot SD790 IS,5,0
COOLPIX L110,5,0
SLP1000SE,1,0
DMC-TZ7,4,0
D7000,1,0
GT-I9300,6,0
DSC-L1,1,0
